co_id_comprobante	co_estatus	co_id_emisor	co_num_comprobante	co_codigo_tipo_documento	DescripcionEstatus	em_nemonico	em_pais
267002148406435505	61	1747	0002-003-0000836525	01	RechazadoLicencia	COFA	507
267002148585719145	61	665	0003-001-0015295124	01	RechazadoLicencia	PASL	507
267002148406000711	61	665	0001-001-0013833478	01	RechazadoLicencia	PASL	507
267002148406152712	61	665	0001-001-0013833479	01	RechazadoLicencia	PASL	507
267002148406165087	61	665	0007-001-0018492404	01	RechazadoLicencia	PASL	507
267002148406905088	61	665	0007-001-0018492405	01	RechazadoLicencia	PASL	507
267002148406963316	61	1747	0003-002-0200709055	01	RechazadoLicencia	COFA	507
267002148406000711	61	665	0001-001-0013833478	01	RechazadoLicencia	PASL	507
267002148406152712	61	665	0001-001-0013833479	01	RechazadoLicencia	PASL	507
267002148406165087	61	665	0007-001-0018492404	01	RechazadoLicencia	PASL	507
267002148406905088	61	665	0007-001-0018492405	01	RechazadoLicencia	PASL	507
267002148406963316	61	1747	0003-002-0200709055	01	RechazadoLicencia	COFA	507
263123148372026983	50	1743	0000-000-0000000000	NULL	Error	CAPA	507
267002148406906507	61	1747	0002-002-0000441691	01	RechazadoLicencia	COFA	507
267002148586572547	61	665	0003-001-0015295125	01	RechazadoLicencia	PASL	507
267002148407538009	61	1747	0002-002-0000441692	01	RechazadoLicencia	COFA	507
267002148586347846	61	665	0003-001-0015295126	01	RechazadoLicencia	PASL	507
267002148407942611	61	1747	0002-002-0000441693	01	RechazadoLicencia	COFA	507
267002148406842706	61	1747	0002-003-0000836526	01	RechazadoLicencia	COFA	507
267002148407036208	61	1747	0002-003-0000836527	01	RechazadoLicencia	COFA	507
267002148407772510	61	1747	0002-003-0000836528	01	RechazadoLicencia	COFA	507
267002148407195077	61	665	0011-001-0024578339	01	RechazadoLicencia	PASL	507
267002148407965389	61	665	0007-001-0018492406	01	RechazadoLicencia	PASL	507
267002148408317764	61	665	0009-001-0020439950	01	RechazadoLicencia	PASL	507
267002148588487537	61	665	0010-001-0022088498	01	RechazadoLicencia	PASL	507
267002148588740438	61	665	0010-001-0022088499	01	RechazadoLicencia	PASL	507
267002148587806148	61	665	0003-001-0015295127	01	RechazadoLicencia	PASL	507
267002148408286612	61	1747	0002-002-0000441694	01	RechazadoLicencia	COFA	507
267002148408716278	61	665	0011-001-0024578340	01	RechazadoLicencia	PASL	507
267002148409201979	61	665	0011-001-0024578341	01	RechazadoLicencia	PASL	507
267002148408963913	61	1747	0002-002-0000441695	01	RechazadoLicencia	COFA	507
267002148408770917	61	1747	0003-002-0200709056	01	RechazadoLicencia	COFA	507
267002148409579577	61	665	0002-001-0014241098	01	RechazadoLicencia	PASL	507
267002148408840645	61	665	0006-001-0017150966	01	RechazadoLicencia	PASL	507
267002148409301846	61	665	0006-001-0017150967	01	RechazadoLicencia	PASL	507
267002148409921147	61	665	0006-001-0017150968	01	RechazadoLicencia	PASL	507
267002148590068339	61	665	0010-001-0022088500	01	RechazadoLicencia	PASL	507
267002148409642580	61	665	0011-001-0024578342	01	RechazadoLicencia	PASL	507
267002148409631114	61	1747	0002-002-0000441696	01	RechazadoLicencia	COFA	507
267002148410588813	61	665	0001-001-0013833480	01	RechazadoLicencia	PASL	507
267002148410103018	61	1747	0003-001-0200589372	01	RechazadoLicencia	COFA	507
267002148410892119	61	1747	0003-001-0200589373	01	RechazadoLicencia	COFA	507
267002148410666765	61	665	0009-001-0020439951	01	RechazadoLicencia	PASL	507
267002148410557548	61	665	0006-001-0017150969	01	RechazadoLicencia	PASL	507
267002148590689240	61	665	0010-001-0022088501	01	RechazadoLicencia	PASL	507
267002148590903441	61	665	0010-001-0022088502	01	RechazadoLicencia	PASL	507
267002148411842715	61	1747	0002-002-0000441697	01	RechazadoLicencia	COFA	507
267002148411523814	61	665	0001-001-0013833481	01	RechazadoLicencia	PASL	507
267002148411094120	61	1747	0003-001-0200589374	01	RechazadoLicencia	COFA	507
267002148411345878	61	665	0002-001-0014241099	01	RechazadoLicencia	PASL	507
267002148591634850	61	665	0003-001-0015295128	01	RechazadoLicencia	PASL	507
267002148591309649	61	665	0003-001-0015295129	01	RechazadoLicencia	PASL	507
267002148411788481	61	665	0011-001-0024578343	01	RechazadoLicencia	PASL	507
267002148412578082	61	665	0011-001-0024578344	01	RechazadoLicencia	PASL	507
267002148412570816	61	1747	0002-002-0000441698	01	RechazadoLicencia	COFA	507
267002148412204215	61	665	0001-001-0013833482	01	RechazadoLicencia	PASL	507
267002148412624116	61	665	0001-001-0013833483	01	RechazadoLicencia	PASL	507
267002148412614617	61	1747	0002-003-0000836529	01	RechazadoLicencia	COFA	507
267002148412363621	61	1747	0003-001-0200589375	01	RechazadoLicencia	COFA	507
267002148412801822	61	1747	0003-001-0200589376	01	RechazadoLicencia	COFA	507
267002148412989479	61	665	0002-001-0014241100	01	RechazadoLicencia	PASL	507
267002148413525749	61	665	0006-001-0017150970	01	RechazadoLicencia	PASL	507
267002148593148742	61	665	0010-001-0022088503	01	RechazadoLicencia	PASL	507
267002148593251943	61	665	0010-001-0022088504	01	RechazadoLicencia	PASL	507
267002148592353751	61	665	0003-001-0015295130	01	RechazadoLicencia	PASL	507
267002148593267752	61	665	0003-001-0015295131	01	RechazadoLicencia	PASL	507
267002148413028983	61	665	0011-001-0024578345	01	RechazadoLicencia	PASL	507
267002148414132484	61	665	0011-001-0024578346	01	RechazadoLicencia	PASL	507
267002148413249617	61	665	0001-001-0013833484	01	RechazadoLicencia	PASL	507
267002148413424818	61	665	0001-001-0013833485	01	RechazadoLicencia	PASL	507
267002148414037019	61	665	0001-001-0013833486	01	RechazadoLicencia	PASL	507
267002148414269390	61	665	0007-001-0018492407	01	RechazadoLicencia	PASL	507
267002148413627518	61	1747	0002-002-0000441699	01	RechazadoLicencia	COFA	507
267002148414185723	61	1747	0003-001-0200589377	01	RechazadoLicencia	COFA	507
267002148414320224	61	1747	0003-001-0200589378	01	RechazadoLicencia	COFA	507
267002148593498953	61	665	0003-001-0015295132	01	RechazadoLicencia	PASL	507
267002148414727885	61	665	0011-001-0024578347	01	RechazadoLicencia	PASL	507
267002148415409786	61	665	0011-001-0024578348	01	RechazadoLicencia	PASL	507
267002148414980520	61	665	0001-001-0013833487	01	RechazadoLicencia	PASL	507
267002148414772791	61	665	0007-001-0018492408	01	RechazadoLicencia	PASL	507
